donationID,orgID,donationDate
125,62,2021-07-14
126,64,2021-07-15
127,50,2021-07-15
128,39,2021-07-16
129,90,2021-07-16
130,56,2021-07-17
131,124,2021-07-17
132,88,2021-07-18
133,25,2021-07-19
134,44,2021-07-20
135,107,2021-07-21
136,19,2021-07-22
137,117,2021-07-23
138,81,2021-07-24
139,102,2021-07-24
140,77,2021-07-25
141,93,2021-07-26
142,58,2021-07-26
143,43,2021-07-26
144,119,2021-07-27
145,17,2021-07-28
146,40,2021-07-28
147,9,2021-07-29
148,87,2021-07-30
149,17,2021-07-30
150,112,2021-07-31
151,101,2021-08-01
152,62,2021-08-02
153,72,2021-08-03
154,112,2021-08-04
155,86,2021-08-05
156,8,2021-08-06
157,23,2021-08-07
158,27,2021-08-08
159,44,2021-08-08
160,81,2021-08-08
161,15,2021-08-09
162,114,2021-08-09
163,67,2021-08-09
164,98,2021-08-10
165,88,2021-08-11
166,18,2021-08-12
167,31,2021-08-13
168,52,2021-08-14
169,128,2021-08-14
170,106,2021-08-15
171,123,2021-08-16
172,90,2021-08-17
173,77,2021-08-18
174,12,2021-08-19
175,50,2021-08-19
176,36,2021-08-20
177,101,2021-08-21
178,45,2021-08-22
179,5,2021-08-23
180,129,2021-08-24
181,63,2021-08-25
182,86,2021-08-25
183,49,2021-08-26
184,24,2021-08-26
185,10,2021-08-26
186,98,2021-08-26
187,123,2021-08-27
188,134,2021-08-28
189,13,2021-08-29
190,36,2021-08-30
191,46,2021-08-30
192,66,2021-08-30
193,22,2021-08-31
194,64,2021-09-01
195,97,2021-09-02
196,102,2021-09-03
197,43,2021-09-04
198,20,2021-09-05
199,92,2021-09-06
200,2,2021-09-06
201,94,2021-09-07
202,72,2021-09-08
203,117,2021-09-09
204,133,2021-09-09
205,57,2021-09-10
206,128,2021-09-10
207,125,2021-09-11
208,29,2021-09-12
209,32,2021-09-13
210,72,2021-09-14
211,107,2021-09-15
212,37,2021-09-16
213,44,2021-09-16
214,27,2021-09-17
215,17,2021-09-18
216,134,2021-09-18
217,2,2021-09-18
218,77,2021-09-19
219,61,2021-09-20
220,128,2021-09-21
221,40,2021-09-22
222,45,2021-09-23
223,62,2021-09-24
224,102,2021-09-24
225,88,2021-09-24
226,67,2021-09-24
227,43,2021-09-25
228,91,2021-09-25
229,19,2021-09-25
230,52,2021-09-26
231,97,2021-09-27
232,55,2021-09-27
233,32,2021-09-28
234,84,2021-09-28
235,53,2021-09-28
236,16,2021-09-28
237,37,2021-09-29
238,10,2021-09-30
239,119,2021-10-01
240,75,2021-10-01
241,120,2021-10-01
242,119,2021-10-01
243,53,2021-10-01
244,44,2021-10-02
245,48,2021-10-02
246,117,2021-10-02
247,42,2021-10-03
248,77,2021-10-03
249,54,2021-10-04
250,121,2021-10-05
251,112,2021-10-06
252,65,2021-10-07
253,111,2021-10-07
254,72,2021-10-07
255,132,2021-10-08
256,13,2021-10-08
257,14,2021-10-09
258,23,2021-10-10
259,64,2021-10-11
260,134,2021-10-12
261,102,2021-10-12
262,74,2021-10-13
263,101,2021-10-13
264,38,2021-10-13
265,133,2021-10-14
266,85,2021-10-15
267,82,2021-10-16
268,38,2021-10-17
269,118,2021-10-18
270,64,2021-10-19
271,125,2021-10-20
272,105,2021-10-20
273,27,2021-10-20
274,53,2021-10-20
275,49,2021-10-21
276,108,2021-10-22
277,6,2021-10-23
278,6,2021-10-24
279,62,2021-10-25
280,121,2021-10-26
281,115,2021-10-27
282,129,2021-10-27
283,73,2021-10-28
284,23,2021-10-29
285,33,2021-10-30
286,59,2021-10-31
287,24,2021-11-01
288,49,2021-11-02
289,50,2021-11-02
290,55,2021-11-03
291,105,2021-11-04
292,30,2021-11-05
293,125,2021-11-05
294,30,2021-11-06
295,37,2021-11-07
296,24,2021-11-07
297,76,2021-11-08
298,75,2021-11-09
299,32,2021-11-10
300,29,2021-11-11
301,37,2021-11-12
302,56,2021-11-13
303,75,2021-11-14
304,26,2021-11-14
305,66,2021-11-15
306,40,2021-11-15
307,37,2021-11-15
308,83,2021-11-16
309,19,2021-11-16
310,89,2021-11-16
311,118,2021-11-17
312,71,2021-11-17
313,2,2021-11-18
314,47,2021-11-19
315,78,2021-11-19
316,72,2021-11-20
317,73,2021-11-21
318,48,2021-11-21
319,63,2021-11-22
320,67,2021-11-23
321,14,2021-11-24
322,80,2021-11-25
323,30,2021-11-25
324,126,2021-11-26
325,100,2021-11-27
326,16,2021-11-27
327,77,2021-11-27
328,111,2021-11-27
329,63,2021-11-28
330,92,2021-11-29
331,78,2021-11-30
332,54,2021-12-01
333,133,2021-12-02
334,81,2021-12-03
335,105,2021-12-03
336,15,2021-12-04
337,122,2021-12-05
338,71,2021-12-05
339,121,2021-12-05
340,14,2021-12-05
341,61,2021-12-06
342,82,2021-12-06
343,95,2021-12-07
344,102,2021-12-08
345,114,2021-12-09
346,113,2021-12-10
347,116,2021-12-11
348,58,2021-12-12
349,11,2021-12-13
350,130,2021-12-14
351,61,2021-12-14
352,49,2021-12-14
353,43,2021-12-15
354,67,2021-12-16
355,60,2021-12-17
356,75,2021-12-18
357,5,2021-12-19
358,86,2021-12-19
359,1,2021-12-19
360,26,2021-12-19
361,34,2021-12-20
362,132,2021-12-20
363,131,2021-12-20
364,79,2021-12-21
365,119,2021-12-22
366,128,2021-12-23
367,4,2021-12-24
368,45,2021-12-24
369,115,2021-12-25
370,46,2021-12-26
371,29,2021-12-27
372,37,2021-12-28
373,84,2021-12-29
374,111,2021-12-30
375,53,2021-12-31
376,62,2022-01-01
377,21,2022-01-02
378,95,2022-01-02
379,54,2022-01-03
380,108,2022-01-03
381,91,2022-01-03
382,58,2022-01-03
383,77,2022-01-03
384,101,2022-01-04
385,99,2022-01-04
386,74,2022-01-05
387,34,2022-01-06
388,65,2022-01-07
389,14,2022-01-08
390,71,2022-01-08
391,51,2022-01-09
392,129,2022-01-10
393,116,2022-01-11
394,93,2022-01-11
395,130,2022-01-12
396,90,2022-01-12
397,15,2022-01-13
398,7,2022-01-14
399,77,2022-01-15
400,23,2022-01-15
401,110,2022-01-16
402,97,2022-01-17
403,61,2022-01-18
404,87,2022-01-19
405,52,2022-01-19
406,75,2022-01-20
407,41,2022-01-20
408,117,2022-01-21
409,106,2022-01-21
410,116,2022-01-22
411,39,2022-01-22
412,101,2022-01-23
413,29,2022-01-23
414,97,2022-01-23
415,107,2022-01-24
416,123,2022-01-25
417,72,2022-01-26
418,40,2022-01-27
419,20,2022-01-27
420,120,2022-01-27
421,7,2022-01-28
422,65,2022-01-29
423,65,2022-01-30
424,7,2022-01-31
425,57,2022-02-01
426,19,2022-02-02
427,38,2022-02-03
428,122,2022-02-04
429,46,2022-02-05
430,123,2022-02-06
431,108,2022-02-07
432,85,2022-02-08
433,40,2022-02-09
434,13,2022-02-09
435,105,2022-02-09
436,6,2022-02-09
437,60,2022-02-10
438,120,2022-02-10
439,18,2022-02-11
440,88,2022-02-12
441,9,2022-02-13
442,115,2022-02-13
443,80,2022-02-14
444,115,2022-02-15
445,16,2022-02-16
446,116,2022-02-16
447,90,2022-02-17
448,51,2022-02-18
449,91,2022-02-18
450,18,2022-02-18
451,33,2022-02-19
452,133,2022-02-19
453,27,2022-02-20
454,112,2022-02-21
455,62,2022-02-21
456,60,2022-02-22
457,106,2022-02-22
458,79,2022-02-23
459,77,2022-02-24
460,41,2022-02-25
461,50,2022-02-26
462,29,2022-02-27
463,110,2022-02-28
464,129,2022-03-01
465,72,2022-03-01
466,127,2022-03-02
467,129,2022-03-02
468,17,2022-03-03
469,130,2022-03-04
470,106,2022-03-05
471,1,2022-03-05
472,32,2022-03-06
473,112,2022-03-07
474,34,2022-03-08
475,14,2022-03-09
476,75,2022-03-09
477,47,2022-03-10
478,60,2022-03-11
479,80,2022-03-12
480,102,2022-03-13
481,74,2022-03-14
482,57,2022-03-14
483,70,2022-03-14
484,41,2022-03-14
485,77,2022-03-15
486,112,2022-03-15
487,132,2022-03-16
488,65,2022-03-17
489,10,2022-03-18
490,18,2022-03-19
491,104,2022-03-20
492,30,2022-03-21
493,35,2022-03-22
494,65,2022-03-22
495,37,2022-03-23
496,63,2022-03-24
497,27,2022-03-24
498,16,2022-03-24
499,36,2022-03-25
500,88,2022-03-26
501,4,2022-03-27
502,12,2022-03-28
503,17,2022-03-29
504,34,2022-03-30
505,23,2022-03-31
506,86,2022-04-01
507,12,2022-04-01
508,130,2022-04-01
509,131,2022-04-02
510,126,2022-04-03
511,8,2022-04-03
512,99,2022-04-03
513,19,2022-04-04
514,89,2022-04-05
515,90,2022-04-05
516,60,2022-04-05
517,64,2022-04-06
518,116,2022-04-06
519,90,2022-04-07
520,102,2022-04-08
521,124,2022-04-09
522,81,2022-04-10
523,54,2022-04-11
524,70,2022-04-11
525,28,2022-04-11
526,27,2022-04-12
527,19,2022-04-13
528,49,2022-04-13
529,114,2022-04-14
530,84,2022-04-15
531,70,2022-04-16
532,53,2022-04-17
533,74,2022-04-17
534,44,2022-04-17
535,19,2022-04-17
536,61,2022-04-18
537,122,2022-04-19
538,103,2022-04-19
539,29,2022-04-20
540,102,2022-04-20
541,68,2022-04-20
542,43,2022-04-21
543,31,2022-04-21
544,55,2022-04-22
545,16,2022-04-23
546,130,2022-04-24
547,33,2022-04-24
548,94,2022-04-24
549,45,2022-04-24
550,128,2022-04-25
551,118,2022-04-26
552,77,2022-04-27
553,88,2022-04-28
554,89,2022-04-28
555,127,2022-04-29
556,80,2022-04-30
557,73,2022-05-01
558,45,2022-05-02
559,123,2022-05-02
560,47,2022-05-02
561,129,2022-05-03
562,55,2022-05-04
563,122,2022-05-04
564,134,2022-05-05
565,7,2022-05-06
566,66,2022-05-07
567,54,2022-05-07
568,24,2022-05-07
569,49,2022-05-08
570,100,2022-05-09
571,126,2022-05-10
572,130,2022-05-11
573,129,2022-05-12
574,104,2022-05-13
575,80,2022-05-14
576,73,2022-05-15
577,97,2022-05-16
578,10,2022-05-16
579,124,2022-05-17
580,31,2022-05-18
581,17,2022-05-18
582,89,2022-05-19
583,120,2022-05-20
584,84,2022-05-21
585,28,2022-05-21
586,60,2022-05-21
587,114,2022-05-22
588,129,2022-05-22
589,104,2022-05-23
590,57,2022-05-24
591,22,2022-05-25
592,7,2022-05-25
593,41,2022-05-26
594,85,2022-05-27
595,30,2022-05-27
596,88,2022-05-28
597,94,2022-05-28
598,103,2022-05-29
599,13,2022-05-29
600,71,2022-05-30
601,35,2022-05-31
602,123,2022-05-31
603,1,2022-05-31
604,41,2022-06-01
605,79,2022-06-02
606,134,2022-06-02
607,116,2022-06-03
608,107,2022-06-04
609,68,2022-06-05
610,68,2022-06-06
611,127,2022-06-07
612,57,2022-06-07
613,40,2022-06-08
614,32,2022-06-09
615,8,2022-06-09
616,41,2022-06-09
617,41,2022-06-10
618,31,2022-06-11
619,104,2022-06-11
620,125,2022-06-12
621,28,2022-06-13
622,79,2022-06-14
623,20,2022-06-15
624,14,2022-06-16
625,88,2022-06-17
626,117,2022-06-17
627,94,2022-06-17
628,75,2022-06-18
629,117,2022-06-18
630,18,2022-06-19
631,7,2022-06-19
632,25,2022-06-19
633,94,2022-06-19
634,129,2022-06-20
635,51,2022-06-21
636,85,2022-06-21
637,76,2022-06-21
638,6,2022-06-22
639,108,2022-06-23
640,64,2022-06-23
641,89,2022-06-24
642,115,2022-06-24
643,97,2022-06-25
644,105,2022-06-26
645,42,2022-06-27
646,17,2022-06-28
647,94,2022-06-28
648,50,2022-06-29
649,129,2022-06-30
650,124,2022-07-01
651,44,2022-07-02
652,76,2022-07-02
653,42,2022-07-02
654,128,2022-07-02
655,65,2022-07-03
656,67,2022-07-04
657,25,2022-07-05
658,67,2022-07-06
659,73,2022-07-07
660,132,2022-07-08
661,75,2022-07-08
662,25,2022-07-08
663,114,2022-07-08
664,41,2022-07-08
665,133,2022-07-08
666,69,2022-07-09
667,120,2022-07-09
668,110,2022-07-09
669,22,2022-07-10
670,122,2022-07-11
671,55,2022-07-11
672,84,2022-07-12
673,127,2022-07-13
674,38,2022-07-14
675,53,2022-07-15
676,88,2022-07-15
677,25,2022-07-16
678,113,2022-07-16
679,73,2022-07-17
680,65,2022-07-18
681,31,2022-07-18
682,60,2022-07-18
683,18,2022-07-19
684,91,2022-07-20
685,69,2022-07-20
686,36,2022-07-20
687,108,2022-07-20
688,129,2022-07-20
689,105,2022-07-21
690,83,2022-07-22
691,118,2022-07-23
692,97,2022-07-24
693,1,2022-07-24
694,92,2022-07-25
695,102,2022-07-25
696,85,2022-07-26
697,44,2022-07-27
698,38,2022-07-28
699,89,2022-07-29
700,63,2022-07-29
701,36,2022-07-30
702,98,2022-07-31
703,54,2022-08-01
704,93,2022-08-01
705,3,2022-08-02
706,99,2022-08-03
707,96,2022-08-04
708,60,2022-08-04
709,134,2022-08-05
710,48,2022-08-05
711,134,2022-08-06
712,51,2022-08-07
713,106,2022-08-07
714,101,2022-08-07
715,31,2022-08-08
716,13,2022-08-09
717,112,2022-08-09
718,123,2022-08-09
719,66,2022-08-10
720,90,2022-08-10
721,133,2022-08-10
722,93,2022-08-11
723,82,2022-08-12
724,41,2022-08-12
725,9,2022-08-12
726,34,2022-08-12
727,67,2022-08-13
728,4,2022-08-13
729,129,2022-08-14
730,134,2022-08-14
731,24,2022-08-14
732,20,2022-08-15
733,15,2022-08-15
734,27,2022-08-15
735,56,2022-08-16
736,17,2022-08-17
737,107,2022-08-18
738,131,2022-08-19
739,101,2022-08-19
740,32,2022-08-20
741,22,2022-08-21
742,18,2022-08-22
743,61,2022-08-23
744,125,2022-08-24
745,35,2022-08-25
746,23,2022-08-26
747,42,2022-08-27
748,118,2022-08-28
749,39,2022-08-28
750,102,2022-08-29
751,132,2022-08-29
752,85,2022-08-30
753,11,2022-08-31
754,94,2022-09-01
755,118,2022-09-02
756,123,2022-09-03
757,128,2022-09-03
758,116,2022-09-03
759,41,2022-09-03
760,75,2022-09-03
761,28,2022-09-04
762,62,2022-09-04
763,15,2022-09-05
764,49,2022-09-06
765,54,2022-09-06
766,13,2022-09-07
767,43,2022-09-07
768,113,2022-09-08
769,121,2022-09-09
770,113,2022-09-10
771,40,2022-09-11
772,117,2022-09-11
773,116,2022-09-12
774,120,2022-09-13
775,98,2022-09-13
776,30,2022-09-13
777,94,2022-09-14
778,127,2022-09-15
779,1,2022-09-15
780,64,2022-09-15
781,101,2022-09-15
782,33,2022-09-15
783,57,2022-09-16
784,23,2022-09-16
785,45,2022-09-16
786,6,2022-09-16
787,1,2022-09-17
788,28,2022-09-18
789,1,2022-09-18
790,123,2022-09-19
791,57,2022-09-20
792,124,2022-09-21
793,114,2022-09-22
794,44,2022-09-23
795,26,2022-09-24
796,24,2022-09-25
797,33,2022-09-25
798,34,2022-09-26
799,119,2022-09-27
800,130,2022-09-27
801,121,2022-09-28
802,133,2022-09-29
803,48,2022-09-30
804,6,2022-10-01
805,21,2022-10-02
806,94,2022-10-03
807,49,2022-10-03
808,79,2022-10-04
809,30,2022-10-04
810,15,2022-10-05
811,114,2022-10-05
812,36,2022-10-06
813,52,2022-10-06
814,113,2022-10-07
815,64,2022-10-08
816,102,2022-10-08
817,98,2022-10-09
818,112,2022-10-10
819,59,2022-10-11
820,29,2022-10-11
821,67,2022-10-11
822,8,2022-10-11
823,98,2022-10-12
824,133,2022-10-13
825,55,2022-10-14
826,21,2022-10-15
827,24,2022-10-16
828,45,2022-10-17
829,80,2022-10-18
830,35,2022-10-19
831,60,2022-10-19
832,15,2022-10-20
833,18,2022-10-20
834,109,2022-10-21
835,93,2022-10-22
836,76,2022-10-23
837,131,2022-10-24
838,116,2022-10-25
839,15,2022-10-26
840,102,2022-10-27
841,128,2022-10-27
842,10,2022-10-28
843,19,2022-10-29
844,78,2022-10-30
845,47,2022-10-30
846,74,2022-10-31
847,126,2022-11-01
848,1,2022-11-01
849,57,2022-11-01
850,3,2022-11-02
851,112,2022-11-03
852,64,2022-11-04
853,21,2022-11-05
854,42,2022-11-06
855,71,2022-11-06
856,130,2022-11-07
857,20,2022-11-07
858,29,2022-11-08
859,93,2022-11-09
860,73,2022-11-10
861,104,2022-11-10
862,34,2022-11-11
863,2,2022-11-11
864,98,2022-11-12
865,80,2022-11-13
866,118,2022-11-14
867,3,2022-11-14
868,94,2022-11-15
869,22,2022-11-15
870,96,2022-11-15
871,58,2022-11-15
872,52,2022-11-16
873,106,2022-11-17
874,81,2022-11-17
875,118,2022-11-18
876,45,2022-11-19
877,15,2022-11-20
878,28,2022-11-21
879,70,2022-11-22
880,103,2022-11-22
881,6,2022-11-22
882,17,2022-11-23
883,82,2022-11-24
884,98,2022-11-24
885,52,2022-11-25
886,110,2022-11-26
887,68,2022-11-26
888,42,2022-11-26
889,33,2022-11-27
890,16,2022-11-28
891,80,2022-11-28
892,14,2022-11-28
893,36,2022-11-28
894,122,2022-11-28
895,62,2022-11-28
896,107,2022-11-28
897,24,2022-11-28
898,111,2022-11-28
899,130,2022-11-29
900,26,2022-11-30
901,122,2022-12-01
902,13,2022-12-01
903,31,2022-12-02
904,109,2022-12-03
905,17,2022-12-03
906,122,2022-12-03
907,56,2022-12-04
908,22,2022-12-05
909,25,2022-12-06
910,78,2022-12-07
911,60,2022-12-07
912,27,2022-12-08
913,80,2022-12-09
914,6,2022-12-10
915,111,2022-12-10
916,80,2022-12-10
917,96,2022-12-10
918,47,2022-12-11
919,69,2022-12-11
920,47,2022-12-12
921,94,2022-12-13
922,76,2022-12-14
923,110,2022-12-15
924,114,2022-12-16
925,12,2022-12-17
926,36,2022-12-18
927,48,2022-12-19
928,32,2022-12-19
929,68,2022-12-20
930,130,2022-12-21
931,31,2022-12-22
932,36,2022-12-23
933,92,2022-12-24
934,115,2022-12-25
935,123,2022-12-26
936,32,2022-12-26
937,78,2022-12-27
938,4,2022-12-28
939,104,2022-12-28
940,40,2022-12-29
941,100,2022-12-30
942,124,2022-12-31
943,110,2023-01-01
944,50,2023-01-02
945,28,2023-01-03
946,22,2023-01-04
947,54,2023-01-05
948,125,2023-01-06
949,59,2023-01-07
950,129,2023-01-08
951,128,2023-01-08
952,102,2023-01-09
953,60,2023-01-10
954,107,2023-01-11
955,48,2023-01-12
956,69,2023-01-12
957,34,2023-01-13
958,6,2023-01-14
959,18,2023-01-14
960,52,2023-01-15
961,105,2023-01-16
962,5,2023-01-16
963,4,2023-01-17
964,10,2023-01-18
965,131,2023-01-19
966,112,2023-01-20
967,89,2023-01-21
968,64,2023-01-21
969,7,2023-01-21
970,125,2023-01-22
971,40,2023-01-23
972,86,2023-01-24
973,66,2023-01-25
974,22,2023-01-26
975,132,2023-01-26
976,10,2023-01-26
977,56,2023-01-27
978,52,2023-01-27
979,37,2023-01-27
980,60,2023-01-28
981,29,2023-01-29
982,51,2023-01-29
983,45,2023-01-30
984,49,2023-01-30
985,40,2023-01-31
986,44,2023-02-01
987,87,2023-02-01
988,67,2023-02-02
989,36,2023-02-02
990,106,2023-02-03
991,110,2023-02-04
992,112,2023-02-05
993,39,2023-02-05
994,110,2023-02-06
995,1,2023-02-07
996,84,2023-02-08
997,22,2023-02-09
998,10,2023-02-10
999,29,2023-02-10
1000,9,2023-02-11
1001,106,2023-02-11
1002,84,2023-02-11
1003,119,2023-02-12
1004,131,2023-02-13
1005,111,2023-02-14
1006,46,2023-02-15
1007,20,2023-02-16
1008,99,2023-02-17
1009,112,2023-02-17
1010,123,2023-02-17
1011,61,2023-02-18
1012,105,2023-02-19
1013,70,2023-02-20
1014,39,2023-02-21
1015,49,2023-02-21
1016,133,2023-02-21
1017,12,2023-02-22
1018,121,2023-02-23
1019,99,2023-02-24
1020,31,2023-02-25
1021,118,2023-02-25
1022,82,2023-02-25
1023,76,2023-02-26
1024,50,2023-02-27
1025,105,2023-02-28
1026,119,2023-03-01
1027,69,2023-03-01
1028,38,2023-03-02
1029,77,2023-03-02
1030,30,2023-03-03
1031,41,2023-03-04
1032,74,2023-03-05
1033,20,2023-03-06
1034,103,2023-03-07
1035,43,2023-03-08
1036,25,2023-03-08
1037,63,2023-03-09
1038,125,2023-03-09
1039,59,2023-03-10
1040,100,2023-03-11
1041,98,2023-03-12
1042,50,2023-03-13
1043,22,2023-03-14
1044,43,2023-03-15
1045,65,2023-03-15
1046,46,2023-03-16
1047,1,2023-03-16
1048,39,2023-03-17
1049,82,2023-03-17
1050,6,2023-03-18
1051,107,2023-03-19
1052,116,2023-03-20
1053,68,2023-03-21
1054,119,2023-03-22
1055,128,2023-03-23
1056,50,2023-03-24
1057,37,2023-03-25
1058,75,2023-03-26
1059,17,2023-03-27
1060,26,2023-03-28
1061,40,2023-03-28
1062,15,2023-03-28
1063,62,2023-03-28
1064,29,2023-03-29
1065,72,2023-03-30
1066,41,2023-03-31
1067,84,2023-03-31
1068,27,2023-04-01
1069,104,2023-04-02
1070,42,2023-04-03
1071,112,2023-04-04
1072,107,2023-04-04
1073,122,2023-04-04
1074,42,2023-04-05
1075,108,2023-04-06
1076,34,2023-04-07
1077,53,2023-04-08
1078,49,2023-04-08
1079,7,2023-04-09
1080,61,2023-04-10
1081,77,2023-04-11
1082,73,2023-04-11
1083,2,2023-04-11
1084,13,2023-04-12
1085,76,2023-04-12
1086,60,2023-04-12
1087,40,2023-04-13
1088,121,2023-04-13
1089,17,2023-04-14
1090,57,2023-04-14
1091,39,2023-04-15
1092,90,2023-04-16
1093,115,2023-04-16
1094,1,2023-04-17
1095,86,2023-04-18
1096,27,2023-04-19
1097,27,2023-04-19
1098,65,2023-04-19
1099,90,2023-04-20
1100,20,2023-04-21
1101,41,2023-04-22
1102,116,2023-04-23
1103,12,2023-04-24
1104,25,2023-04-25
1105,77,2023-04-26
1106,104,2023-04-27
1107,85,2023-04-28
1108,34,2023-04-29
1109,19,2023-04-30
1110,114,2023-04-30
1111,106,2023-05-01
1112,106,2023-05-02
1113,50,2023-05-03
1114,36,2023-05-04
1115,102,2023-05-05
1116,22,2023-05-06
